Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
TCD0001 - Graduation Model in Malawi Trinity Contribution (Malawi),Trinity College Dublin,Grant Award,Graduation Model in Malawi,Michael King,"PI: Markus Goldstein , Julia Vaillant",4/21/2017,1,1,Malawi,0,Allocation,5/4/2018
CON0002 - Graduation Model in Malawi - Census,Concern Worldwide,Grant Award,Graduation Model in Malawi,Michael King,"PI: Markus Goldstein , Julia Vaillant",8/18/2017,1,1,Malawi,0,,11/27/2017
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,Graduation Model in Malawi,Michael King,"PI: Markus Goldstein , Julia Vaillant",2/13/2018,1,1,Malawi,0,Internal Subaward,6/18/2018
New Proposal for Graduation Model in Malawi - 2023 Endline,Trinity College Dublin,Grant Proposal,Graduation Model in Malawi,Michael King,"PI: Markus Goldstein , Julia Vaillant",5/15/2021,0,1,Malawi,0,,5/15/2021
TCD-23-10002: Graduation Model in Malawi 2023,Trinity College Dublin,Grant Award,Graduation Model in Malawi,Michael King,"PI: Markus Goldstein , Julia Vaillant",10/18/2023,1,1,Malawi,0,Allocation,10/18/2023
WEL-23-10016: IPV Initiative Phase 4,Wellspring Philanthropic Fund,Grant Award,Graduation Model in Malawi,Michael King,"PI: Markus Goldstein , Julia Vaillant",4/19/2023,1,1,Malawi,0,Internal Subaward,7/18/2023
Collecting baseline data from impact assessment of harvesting equipment,World Bank,Grant Proposal,PSAC - Cotton,,,4/20/2017,0,1,Francophone West Africa,0,,4/20/2017
New Proposal for Education for Children in Armed Conflict,United Nations Children's Fund (UNICEF),Grant Proposal,Education for Children in Armed Conflict,,,4/24/2017,0,1,Philippines,0,,4/24/2017
New Approaches for Improving Timeliness of Routine Immunizations in Low-Resource Settings (Round 19) (Vendor Agreement),University at Buffalo,Grant Proposal,Bridging the Intention-Action Gap for Improving Immunization,Pavani Ram,PI: Ying Cao,5/3/2017,0,1,Uganda,0,,5/3/2017
BMG4903 Financial Health (Phase 2): Convert Financial Health Indicators to metrics,Gates Foundation,Grant Award,Measuring Global Financial Health (MGFH),Lasse Brune,PI: Dean Karlan,5/4/2017,1,1,,0,,5/4/2017
Harnessing community knowledge for farmer technology adoption in Uganda,Massachusetts Institute of Technology (MIT),Grant Proposal,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",3/26/2019,0,1,Uganda,0,,3/26/2019
MIT-19-20006 - PPE Round 9 for Teacher-training to transform classrooms (Uganda),Massachusetts Institute of Technology (MIT),Grant Award,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",12/8/2017,1,1,Uganda,0,Allocation,1/2/2019
"MIT0021 - Teacher-training to transform classrooms, teachers and communities (Uganda)",Massachusetts Institute of Technology (MIT),Grant Award,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",10/30/2017,1,1,Uganda,0,,11/21/2017
"MIT-22-20086: Teacher Training to Transform Classrooms, Teachers and Communities in Uganda",Massachusetts Institute of Technology (MIT),Grant Award,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",5/4/2020,1,1,Uganda,0,Allocation,7/27/2022
IGC: NCDC Student Assessment Survey in Uganda,International Growth Centre (IGC),Grant Proposal,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",2/12/2020,0,1,Uganda,0,,2/10/2020
MIT-22-20082: Adapting ?Learning to Learn? through Government Systems (Uganda),Massachusetts Institute of Technology (MIT),Grant Award,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",12/14/2021,1,1,Uganda,0,Allocation,5/9/2022
MIT-22-20082: Adapting ?Learning to Learn? through Government Systems (Uganda),Massachusetts Institute of Technology (MIT),Grant Award,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",12/14/2021,1,1,Uganda,0,External Subaward,5/9/2022
"UCH-23-10017: U-Chicago Learning to Learn by Learning to Teach, Endline - Community Survey(Uganda)",University of Chicago,Grant Award,Learning to Learn by Learning to Teach,Nava Ashraf,"PI: Abhijit Banerjee 
PhD PI: Vesall Nourani",1/13/2023,1,1,Uganda,0,Allocation,9/13/2023
IPV Training leader,United States Agency for International Development (USAID),Grant Proposal,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",5/9/2017,0,1,Peru,0,,5/31/2017
Training Local Leaders to Prevent and Reduce Gender Based Violence in their Communities,National Science Foundation (NSF),Grant Proposal,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",8/17/2017,0,1,Peru,0,,8/17/2017
Training Leaders to Prevent and Reduce Domestic Violence in Their Communities,Duke University,Grant Proposal,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",5/31/2019,0,1,Peru,0,,6/6/2019
"IDB-18-10001: IPA Measurement, IDB (Peru)",Inter-American Development Bank (IDB),Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",9/3/2018,1,1,Peru,0,,11/5/2018
DUK-18-10000: J-PAL CVI Intimate Partner Violence Training Leaders (Peru),Duke University,Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",9/29/2017,1,1,Peru,0,Allocation,9/15/2017
New Proposal for IPV Training leader,Duke University,Grant Proposal,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",8/19/2019,0,1,Peru,0,,8/19/2019
WEL-19-10005: IPV Training leader - Wellspring (Peru),Wellspring Philanthropic Fund,Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",8/20/2019,1,1,Peru,0,Allocation,8/20/2019
UKSEC-19-10001: Engaging Men in LIA Bristish Embassy (Peru),"UK Aid through the FCDO - Foreign, Commonwealth and Development Office",Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",5/19/2019,1,1,Peru,0,,8/2/2019
MIT-22-20080: Training Local Leaders to Prevent and Reduce Domestic Violence in their Communities (Peru),Massachusetts Institute of Technology (MIT),Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",5/1/2020,1,1,Peru,0,Allocation,6/28/2022
DUK-22-20003: Training Local Leaders to Prevent and Reduce Domestic Violence in their Communities (Peru),Duke University,Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",7/2/2020,1,1,Peru,0,Allocation,9/6/2022
OSF-19-10002 Peace & Recovery Competitive Fund on Homicide in Latin America,Open Society Foundations,Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",11/15/2018,1,1,Peru,0,Internal Subaward,7/11/2019
WBK-24-20170- Leaders in Action: Preliminary Assesments WB Lab (Peru),World Bank,Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",1/26/2024,1,1,Peru,0,Allocation,9/7/2024
WEL-23-10016: IPV Initiative Phase 4,Wellspring Philanthropic Fund,Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",4/19/2023,1,1,Peru,0,Allocation,7/18/2023
WEL-23-10016: IPV Initiative Phase 4,Wellspring Philanthropic Fund,Grant Award,Leaders In Action (LIA),Ursula Aldana,"PI: Livia Schubiger , Javier Romero Haaker , Erica Field",4/19/2023,1,1,Peru,0,External Subaward,7/18/2023
"WBK-19-20019 - Youth Opportunity Project Impact Evaluation, Baseline Phase 2 - Liberia",World Bank,Grant Award,Liberia Youth Opportunities Project,Victoria Strokova,PI: Laura Ralston,4/12/2019,1,1,Sierra Leone,0,,6/6/2019
World Bank,World Bank,Grant Proposal,Liberia Youth Opportunities Project,Victoria Strokova,PI: Laura Ralston,1/16/2020,0,1,Sierra Leone,0,,1/16/2020
UCT0005 - Catch-up (TaRL) Scale-up (Zambia),University of Cape Town,Grant Award,Catch-up (TaRL) Scale-up,,PI: Rachel Glennerster,5/17/2017,1,1,Zambia,0,,5/18/2017
Maternal and Child Health in Poor Countries - Evidence from Randomized Evaluatio,National Institutes of Health (NIH),Grant Proposal,Maternal and Child Health in Poor Countries - Evidence from Randomized Evaluatio,Jessica Cohen,PI: Margaret McConnell,6/5/2017,0,1,Kenya,0,,6/5/2017
Independent Consultant Evaluation Services for the Liberia Energy Project (SUB),American Institutes for Research,Grant Proposal,Mt Coffee Evaluations,,,3/20/2017,0,1,Sierra Leone,0,,3/21/2017
GLM: Rural Market Linkages (Zambia),Institute for the Study of Labor (IZA),Grant Proposal,Rural market Linkages / Trade Relationships,Kelsey Jack,"PI: Namrata Kala , Guigonan Serge Adjognon",10/16/2017,0,1,Zambia,0,,10/16/2017
Improving Trading Relationships through Intermediation and Liquidity Access,Private Enterprise Development for Low-Income Countries (PEDL),Grant Proposal,Rural market Linkages / Trade Relationships,Kelsey Jack,"PI: Namrata Kala , Guigonan Serge Adjognon",10/2/2017,0,1,Zambia,0,,10/2/2017
UCB0017 Digital Credit,"University of California, Berkeley",Grant Award,Digital Credit,Jonathan Robinson,"PI: Pascaline Dupas 
PhD PI: Eilin Francis , Valentina Brailovskaya",5/30/2017,1,1,Malawi,0,,9/5/2017
"CARE VSLA - Ghana, Malawi and Uganda Follow-up Survey",FHI 360,Grant Proposal,CARE VSLA - Uganda Follow-up Survey,,,5/12/2017,0,1,Uganda,0,,5/12/2017
OPI0001: TSPI Agricultural Microfinance Evaluation,Opportunity International (OI),Grant Award,TSPI Agricultural Microfinance Evaluation,,PI: Nathan Fiala,5/31/2017,1,1,Philippines,0,,5/16/2017
GLM: Recruitment constraints (Ivory Coast),United Kingdom Department for International Development (DFID),Grant Proposal,Recruitment Constraints for Formal Private Firms,Alicia Marguerie,PhD PI: Aishwarya Ben Dhia,10/15/2017,0,1,Francophone West Africa,0,,10/16/2017
EAS-19-10001: No Lean Season RA (Bangladesh),Evidence Action,Grant Award,Migration scale-up in Bangladesh,Mushfiq Mobarak,,6/20/2019,1,1,Bangladesh,0,,6/20/2019
EAS-19-10002: No Lean Season Endline 2019 (Bangladesh),Evidence Action,Grant Award,Migration scale-up in Bangladesh,Mushfiq Mobarak,,7/12/2019,1,1,Bangladesh,0,,7/12/2019
UCB Proposal for Exploratory Work with CCTs in DR,"University of California, Berkeley",Grant Proposal,Exploratory Work on CCTs in DR,,,6/16/2017,0,1,LAC-Other,0,,6/16/2017
YAL0038 Pilot Study Foreigners Impact on Research (Tanzania),Yale University,Grant Award,Foreigners Impact on Research,Katharine Baldwin,"PhD PI: Constantine Manda , Elizabeth McGuire",4/19/2018,1,1,Tanzania,0,,4/19/2018
WEL2913 Wellsprings Request No. 12913 (Tanzania),Wellspring Philanthropic Fund,Grant Award,PanganiFM,Donald Green,PhD PI: Dylan Groves,8/8/2017,1,1,Tanzania,0,,11/1/2017
WEL-19-10003 Pangani Intimate Partner Violence Endline Radio Study (Tanzania),Wellspring Philanthropic Fund,Grant Award,PanganiFM,Donald Green,PhD PI: Dylan Groves,4/16/2019,1,1,Tanzania,0,,5/23/2019
WB Proposal for Cómo Va Mi Escuela,World Bank,Grant Proposal,Cómo Va Mi Escuela,,,7/6/2017,0,1,LAC-Other,0,,7/7/2017
WBK-19-20008 Kenya Participatory Budgeting Initiative (KBPI) Logistical Partner for Budgeting: Piloting New Techniques,World Bank,Grant Award,Evaluating Participatory Budgeting Impact in Kenya,Michael Michael Touchton,"PI: Brian Wampler , Tara Grillos",11/28/2018,1,1,Kenya,0,,3/1/2019
PU-21-10001: Collective Decision Making & Local Public Good Provision: Experimental Evidence from Kenyan Villages (Kenya,Purdue University,Grant Award,Evaluating Participatory Budgeting Impact in Kenya,Michael Michael Touchton,"PI: Brian Wampler , Tara Grillos",1/17/2020,1,1,Kenya,0,Allocation,12/6/2021
Supplemental funding [PU-21-10002],Purdue University,Grant Proposal,Evaluating Participatory Budgeting Impact in Kenya,Michael Michael Touchton,"PI: Brian Wampler , Tara Grillos",4/16/2023,0,1,Kenya,0,Allocation,4/16/2023
IDB-19-10007:Panama Intercultural Math (Peru),Inter-American Development Bank (IDB),Grant Award,Panama Intercultural Math,Emma Ingrid Naslund-Hadley,,9/17/2019,1,1,LAC-Other,0,,10/3/2019
IDB-19-10007:Panama Intercultural Math (Peru),Inter-American Development Bank (IDB),Grant Award,Panama Intercultural Math,Emma Ingrid Naslund-Hadley,,9/17/2019,1,1,LAC-Other,0,,10/3/2019
DIV_Expanding the 'Quality Preschool for Ghana' Program to Rural Regions: Improving Kindergarten Quality Nationally,United States Agency for International Development (USAID),Grant Proposal,R-QP4G,Sharon Wolf,"PI: Jere Behrman , John Lawrence Aber",7/28/2017,0,1,Ghana,0,,7/28/2017
QP4G-R ELP,World Bank,Grant Proposal,R-QP4G,Sharon Wolf,"PI: Jere Behrman , John Lawrence Aber",3/4/2019,0,1,Ghana,0,,12/31/2019
QP4G-P SIEF Nimble (Ghana),World Bank,Grant Proposal,R-QP4G,Sharon Wolf,"PI: Jere Behrman , John Lawrence Aber",8/27/2018,0,1,Ghana,0,,5/30/2018
Harnessing the Role of Parents to Improve Early Childhood Development,Gower Street (formerly Marple Charitable Trust),Grant Proposal,R-QP4G,Sharon Wolf,"PI: Jere Behrman , John Lawrence Aber",5/20/2018,0,1,Ghana,0,,5/20/2018
UKRI Newton Fund Covid 19 Agile Response QP4G Follow-up,UK Research and Innovation (UKRI),Grant Proposal,R-QP4G,Sharon Wolf,"PI: Jere Behrman , John Lawrence Aber",6/1/2020,0,1,Ghana,0,,6/1/2020
SIEF LOI for ARK Evaluation,World Bank,Grant Proposal,ARK Evaluation,Jacobus Cilliers,,1/30/2015,0,1,Kenya,0,,1/30/2015
New Proposal for Education - Energy Access,,Grant Proposal,Education - Energy Access,Ognen Stojanovski,PI: Mark C. Thurber,12/16/2015,0,1,Zambia,0,,4/4/2016
"IGC1206 Credit constraints, trade credit and firm growth across interlinked markets in Zambia",London School of Economics and Political Science,Grant Award,Fish Farming,Lorenzo Casaburi,,12/12/2014,1,1,Zambia,0,,2/12/2015
YAL0028 Aid Data Sub-contract for Aid Flow Information (Uganda),Yale University,Grant Award,Aid Flow Information - Pilot,Katharine Baldwin,,1/30/2015,1,1,Uganda,0,,9/9/2015
PSI0003 Women's Condoms - PSI_Zambia,Population Services International,Grant Award,Women's Condoms - PSI,Thoai Ngo,"PI: Jessie Pinchoff , Rachna Nag Chowdhuri",1/27/2015,1,1,Zambia,0,,6/16/2015
WBK8780 Field Games Data Collection for Ghana Commercial Agriculture Project (GCAP) Ariku Farms Impact Evaluation,World Bank,Grant Award,Ariku Farms Impact Evaluation,Tricia Gonwa,"PI: Angeli Kirk , Markus Goldstein",5/18/2016,1,1,Ghana,0,,4/14/2016
"Ariku Farms Baseline Data Collection, Ghana - Visit 2",World Bank,Grant Proposal,Ariku Farms Impact Evaluation,Tricia Gonwa,"PI: Angeli Kirk , Markus Goldstein",11/14/2016,0,1,Ghana,0,,11/14/2016
WBK5075 Ariku Farms Impact Evaluation_Ghana,World Bank,Grant Award,Ariku Farms Impact Evaluation,Tricia Gonwa,"PI: Angeli Kirk , Markus Goldstein",1/29/2015,1,1,Ghana,0,,4/30/2015
Baseline Data Collection GCAP Ariku Farms Impact Evaluation - Phase 4,World Bank,Grant Proposal,Ariku Farms Impact Evaluation,Tricia Gonwa,"PI: Angeli Kirk , Markus Goldstein",10/14/2016,0,1,Ghana,0,,10/14/2016
PEDL Exploratory Proposal for Commitment-Savings EWP GW Productivity,Centre for Economic Policy Research (CEPR),Grant Proposal,Commitment Savings EWP and Garment Worker Productivity,Emily Breza,"PI: Martin Kanz , Leora Klapper",1/30/2015,0,1,Bangladesh,0,,1/31/2015
WBK4466 PO 7174466,World Bank,Grant Award,Commitment Savings EWP and Garment Worker Productivity,Emily Breza,"PI: Martin Kanz , Leora Klapper",3/11/2015,1,1,Bangladesh,0,,3/13/2015
BRN0006 Incentives for Accurate Diagnosis: Improving Health Care Quality in Mali,Brown University,Grant Award,Incentives for Accurate Diagnosis,Anja Sautmann,"PI: Simone Schaner , Marc Dean",2/3/2015,1,1,Francophone West Africa,0,,11/11/2015
ATAL Full Proposal - Ag Subsidies,Massachusetts Institute of Technology (MIT),Grant Proposal,Agricultural Subsidies & Savings and Farm Reinvestment - ATAI pilot,Jonathan Robinson,PI: Shilpa Aggarwal,12/2/2015,0,1,Kenya,1,,12/2/2015
MIT0007 ATAI pilot 5710003910_Kenya,Massachusetts Institute of Technology (MIT),Grant Award,Agricultural Subsidies & Savings and Farm Reinvestment - ATAI pilot,Jonathan Robinson,PI: Shilpa Aggarwal,1/23/2015,1,1,Kenya,1,,8/14/2015
"OXU-19-10002 Human Capital and Identity (KLPS - Kids top up, ERINN)",Oxford University,Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",8/1/2018,1,1,Kenya,0,,5/22/2019
UCB-18-10001 KLPS - Kids_NIHR01 - Intergenerational Impacts of Health Investments (Kenya),"University of California, Berkeley",Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",6/15/2018,1,1,Kenya,0,Allocation,1/23/2019
KLPS KIDS IGC COVID 19,International Growth Centre (IGC),Grant Proposal,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",4/16/2020,0,1,Kenya,0,,4/16/2020
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",9/28/2015,1,1,Kenya,0,Internal Subaward,4/9/2018
IZA-20-10003 Gender Effects of COVID-19: Evidence from the Kenya Life Panel Survey,Institute for the Study of Labor (IZA),Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",8/11/2020,1,1,Kenya,0,,8/11/2020
UCB-23-20024: KLPS5-KIDS NSF_Experimental Evidence on Intergenerational Transmission of Economic Status (Kenya),"University of California, Berkeley",Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",7/28/2021,1,1,Kenya,0,Allocation,8/15/2023
UCB-23-20026: KLPS5-Kids NIH-NICHD: Intergenerational Impacts of Child Health Investments in the KLPS(Kenya),"University of California, Berkeley",Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",5/19/2021,1,1,Kenya,0,Allocation,10/30/2023
BMG-20-10003 COVID-19 Research for Effective COVID Response (RECOVR) Gender Initiative,Gates Foundation,Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",5/29/2020,1,1,Kenya,0,Allocation,8/26/2020
EI-20-10001 KLPS Kids CERGE-EI,Economics Institute of the Czech Academy of Sciences,Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",3/25/2020,1,1,Kenya,0,Allocation,11/17/2020
UCH-22-10011: Intergenerational Impacts of Health Investments (Kenya),University of Chicago,Grant Award,KLPS - Kids,Ted Miguel,"PI: Joan Hamory Hicks , Michael Kremer",11/5/2021,1,1,Kenya,0,Allocation,7/27/2022
ILO0009 Grant for Vocational Education Voucher Delivery and Labor Market Returns in Kenya,International Labour Organization,Grant Award,Start Up Capital for Youth,Ted Miguel,"PI: Isaac Mbiti , Joan Hamory Hicks , Michael Kremer",1/26/2014,1,1,Kenya,0,,7/29/2014
RMA0815: Feeder Roads Development Project: Consultancy Services for Data Collection for the Baseline Survey (Rwanda),"Ministry of Agriculture and Animal Resources, Rwanda",Grant Award,Rural Feeder Roads Evaluation,Florence Kondylis,PI: Marco González Navarro,9/24/2015,1,1,Rwanda,0,,2/1/2016
WBK8001: Research Support Services--Rural Feeder Roads Evaluation (Rwanda),World Bank,Grant Award,Rural Feeder Roads Evaluation,Florence Kondylis,PI: Marco González Navarro,1/4/2016,1,1,Rwanda,0,,1/25/2016
Market Surveys in Rwanda,World Bank,Grant Proposal,Rural Feeder Roads Evaluation,Florence Kondylis,PI: Marco González Navarro,3/20/2018,0,1,Rwanda,0,,3/20/2018
IGC8313: for Irrigation and e-extension (Rwanda),International Growth Centre (IGC),Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",6/19/2015,1,1,Rwanda,0,,6/21/2015
WBK-19-20012 - Irrigation Intervention implementation Phase 2 (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",4/4/2019,1,1,Rwanda,0,,3/29/2019
WBK-18-20007 - Household Baseline Survey Muyanza (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",11/16/2018,1,1,Rwanda,0,,11/15/2018
WBK8775 - Irrigation Project Household Listing Exercise (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",8/22/2018,1,1,Rwanda,0,,8/22/2018
WBK3307 Research Support Services - Impacts and Sustainability of Irrigation (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",3/10/2017,1,1,Rwanda,0,,3/10/2017
"UCB9514 - Impacts, Maintenance, and Sustainability of Irrigation (Rwanda)","University of California, Berkeley",Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",5/12/2016,1,1,Rwanda,0,,9/6/2017
WBK-19-20024 - Muyanza Follow up 1 (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",9/4/2019,1,1,Rwanda,0,Allocation,10/15/2019
New Proposal for Muyanza endline,Massachusetts Institute of Technology (MIT),Grant Proposal,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",3/26/2019,0,1,Rwanda,0,,3/26/2019
WBK-19-20010 - Irrigation - Intervention implementation (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",2/25/2019,1,1,Rwanda,0,,3/10/2019
WBK6637 - Irrigation Project Plot Tracking Surveys (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",2/20/2018,1,1,Rwanda,0,,3/15/2018
WBK0010 - Pilot of Unmanned Aerial Vehicle (UAV) Data Collection (Rwanda) (Won),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",1/19/2018,1,1,Rwanda,0,,1/19/2018
